"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",8,30,255.865820,12.665866,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",8,30,680.399437,14.465151,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",8,15,689.908427,22.594449,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",8,15,45.787802,2.119710,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",8,15,2311.879409,17.945934,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",8,15,12425.674766,152.838293,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",8,30,692.268274,10.466104,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",8,15,256.537668,2.383887,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",8,15,56.039636,0.096675,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",8,15,627.194976,10.762448,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,12.558577,0.433189,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",8,15,771.883850,176.366659,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",8,15,4469.872514,3.391368,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",8,15,58.488161,0.492734,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",8,15,361.040004,51.509924,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",8,15,33.875059,0.279536,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",8,15,268.867262,69.518805,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",8,30,10753.547508,169.848425,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",8,15,145.888134,2.542834,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",8,30,507.482818,10.377377,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",8,30,1038.414998,6.486571,"ops/min"
