Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;1219.0
Domain Marker;max-jOPS;6303.0
Domain Marker;Last Success for SLAs;2936.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
72;89.73764712297599
143;92.03044944251394
215;93.01003205443322
286;93.19209809733702
358;93.67680593577781
430;93.95001208250297
501;94.75041697502907
573;93.9895034668286
645;95.38784214353662
716;96.04240572549925
788;95.25104803253913
859;95.71149371927493
931;93.57186785856555
1003;96.46147966635453
1074;95.72880907617677
1146;96.81787552478104
1218;94.73788982040922
1289;96.5934430783087
1361;96.59009633179514
1432;96.83313351247958
1504;95.72172957584084
1576;96.93443880598255
1647;94.76856707776253
1719;96.44823757239772
1790;95.27197639489712
1862;96.07082703408693
1934;97.28879988420834
2005;97.142420792926
2077;97.32900932002244
2149;95.97542182885881
2220;95.20011473871944
2292;95.87558351476227
2363;95.87228726939698
2435;95.78917436292654
2507;95.80516066397965
2578;95.18918911426705
2650;95.12456148720844
2722;95.89198143859834
2793;95.8703053743231
2865;93.51703714420522
2936;95.68002721492648
3008;96.30283487604174
3080;95.45272261102154
3151;96.23983954475197
3223;95.86480463272059
3295;93.90191287562594
3366;95.473445651602
3438;95.32412459766269
3509;95.74777234286277
3581;92.45662825408104
3653;95.27892989815427
3724;95.29688297767653
3796;95.60896695899609
3867;95.01299141467821
3939;92.87074069113307
4011;94.95992288756676
4082;89.95978646722378
4154;95.26898123239151
4226;92.22638862014713
4297;95.22240617577096
4369;91.6306767166108
4440;92.06997999297107
4512;94.9524258334273
4584;91.7856963418529
4655;89.64930762769518
4727;94.5312170173691
4799;88.41404616925017
4870;89.27168209746769
4942;85.66694699732096
5013;87.99871387889698
5085;87.49051456916936
5157;87.54689407669035
5228;85.97881463818145
5300;84.65381663088375
5371;84.42541613556446
5443;85.24559401343616
5515;82.32152567504876
5586;79.83862988251019
5658;70.54331126556045
5730;78.20012855869223
5801;69.07271884976564
5873;70.62193743127057
5944;55.816898769652994
6016;52.27222329300226
6088;44.1232875993442
6159;29.33439636971083
6231;23.91341344367276
6303;5.041464611752179
6374;1.312082612819477
6446;1.7704500462688846
6517;0.8123341042800203
6589;0.4195454963891018
