Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;1065735.0
Domain Marker;max-jOPS;6917712.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group1.TxInjector.CompositeTxInjector;Group1.Backend.CompositeBackend
3736.0;1005.5994530000007;1005.4789310000006
89589.0;6288.843034999998;6294.055393999995
396944.0;10993.117551999982;10994.877445999999
638723.0;5302.318109999993;5333.446950000012
789939.0;11550.643690000055;11553.348933000001
869509.0;5384.805185000063;5420.430145999999
876997.0;5481.134500000044;5483.943242000067
7243509.0;5449.307462999597;5470.696294999681
7417540.0;11313.510726000182;11313.916845999658
7424800.0;5254.7752700001;5257.225462999195
7463972.0;;1001.3653279999271
7463975.0;2.3826109999790788;
