Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;2293.0
Domain Marker;max-jOPS;8892.0
Domain Marker;Last Success for SLAs;5543.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
115;91.60602848613156
231;93.28122120998374
346;93.88745180733189
462;93.94791704327346
577;95.43192527258186
693;95.63980802044951
808;96.07595167494824
924;96.26163486287861
1039;95.85015641708586
1155;96.36966349810945
1270;96.6958147625117
1386;96.96453440672383
1501;96.17504775201479
1617;96.85057222069102
1732;96.93348844954173
1848;97.57169827281146
1963;97.48276111719143
2079;97.20981513689254
2194;97.18809449994032
2310;96.94114009471672
2425;96.94130242561927
2541;97.79600363425759
2656;97.49304009571689
2772;96.7211066751439
2887;97.69434288304275
3002;97.14760781255207
3118;97.59826756619444
3233;97.95213269609262
3349;97.92755217758906
3464;97.8642291440892
3580;97.88016744235057
3695;97.55120131415498
3811;97.99456058330746
3926;97.85332826268977
4042;97.73616335376914
4157;97.84034066354688
4273;98.35527826750865
4388;97.42870305440624
4504;97.63118986569523
4619;98.13109903836417
4735;97.96216786402051
4850;97.64141595443327
4966;98.0534434086504
5081;97.86880744563531
5197;97.46323031142461
5312;98.22563714343275
5428;97.30205727763065
5543;97.81911085625039
5659;97.99560351777544
5774;97.85976006879318
5889;97.5870163587792
6005;97.36880069509085
6120;98.11029456290679
6236;97.2652961926113
6351;97.4641895920796
6467;96.40286638218814
6582;95.3906315187625
6698;93.16869296357977
6813;91.65080597425263
6929;90.25143028032832
7044;88.08977086059042
7160;86.25992383571365
7275;85.6970735885042
7391;84.86779237261072
7506;81.66274564212596
7622;79.93811668383563
7737;79.00653582860352
7853;76.53387781328611
7968;74.83966432052121
8084;73.20927536614666
8199;69.87030053154861
8315;67.79896210059539
8430;67.7036433800899
8546;63.943145856218315
8661;61.71542436975535
8776;47.497250861186885
8892;42.36588373706561
9007;20.43469316001024
9123;21.521816455701
9238;8.804873400607368
9354;12.116642033509994
