"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",4,30,218.833078,5.781998,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",4,30,485.470129,15.798009,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",4,15,542.829774,7.465783,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",4,15,41.754935,0.305288,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",4,15,2003.859081,76.983882,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",4,15,10095.318151,163.430090,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",4,30,502.154290,13.382667,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",4,15,201.858701,4.145672,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",4,15,58.688853,1.044305,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",4,15,401.179138,6.818293,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,11.288667,0.098011,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",4,15,741.413175,18.059229,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",4,15,3193.445347,25.213950,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",4,15,49.804856,0.111669,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",4,15,237.110856,0.337754,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",4,15,31.944436,0.461587,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",4,15,274.431485,11.930070,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",4,30,8749.946101,213.699042,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",4,15,118.477404,4.817567,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",4,30,393.809877,10.576450,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",4,30,959.865865,15.313589,"ops/min"
