MemTotal:        8117664 kB
MemFree:         7098948 kB
MemAvailable:    7250332 kB
Buffers:           32692 kB
Cached:           338932 kB
SwapCached:            0 kB
Active:           719736 kB
Inactive:          76592 kB
Active(anon):     432352 kB
Inactive(anon):     9988 kB
Active(file):     287384 kB
Inactive(file):    66604 kB
Unevictable:        5480 kB
Mlocked:            5480 kB
SwapTotal:       8117244 kB
SwapFree:        8117244 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1016 kB
Writeback:             0 kB
AnonPages:        430336 kB
Mapped:           211420 kB
Shmem:             12696 kB
KReclaimable:      36100 kB
Slab:              96440 kB
SReclaimable:      36100 kB
SUnreclaim:        60340 kB
KernelStack:        7040 kB
PageTables:        13656 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    12176076 kB
Committed_AS:    3040468 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       54748 kB
VmallocChunk:          0 kB
Percpu:             2496 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      118636 kB
DirectMap2M:     4075520 kB
DirectMap1G:     6291456 kB
