"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",6,30,250.950701,11.569411,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",6,30,562.006508,20.138264,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",6,15,635.964185,7.055442,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",6,15,46.540704,2.193450,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",6,15,2182.849056,20.448872,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",6,15,10286.803990,99.988338,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",6,30,576.564812,10.845990,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",6,15,233.595048,4.774222,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",6,15,64.528349,3.419370,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",6,15,577.538605,7.032273,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,12.283920,0.126305,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",6,15,979.273973,11.603322,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",6,15,3882.879883,55.008895,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",6,15,56.777668,1.074879,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",6,15,361.921440,1.055397,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",6,15,33.919765,1.368900,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",6,15,366.669245,21.225125,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",6,30,9707.535661,198.018620,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",6,15,127.632650,4.465891,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",6,30,484.558750,19.504422,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",6,30,999.127343,16.331020,"ops/min"
