Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;1155952.0
Domain Marker;max-jOPS;7793348.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group1.TxInjector.CompositeTxInjector;Group1.Backend.CompositeBackend
3556.0;1001.3720910000002;1001.3533070000003
87706.0;5913.340313999986;5915.795390999992
380685.0;10255.324135000003;10256.675006000034
698913.0;10745.695397999953;10747.114001999958
967343.0;5083.506519000046;5084.226863000076
8249488.0;10743.79253700003;10744.961164999753
8256660.0;5170.4717999994755;5171.142730000429
8295720.0;;1001.1617060005665
8295722.0;1.3513780003413558;
