03:42:57,542 INFO  [org.radargun.Master] (main) Finished distributed stage ScenarioCleanup.
03:42:57,542 INFO  [org.radargun.Master] (main) Finished scenario on Cluster[default=3] in 11 mins 26 secs
03:42:57,587 INFO  [org.radargun.Master] (main) Finished benchmarking configuration 'Infinispan 9.2 - distributed' in 11 mins 28 secs
03:42:57,587 INFO  [org.radargun.Master] (main) Executed all benchmarks in 11 mins 28 secs, reporting...
03:42:57,587 INFO  [org.radargun.Master] (main) Running reporter org.radargun.reporting.csv.CsvReporter@6fdbe764
03:42:57,588 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/home/tester/benchmarks-in-nested-virtualisation-toolchain/local_workspace/results/results/csv/stress-test_Infinispan 9.2 - distributed_default_3.csv
03:42:57,656 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/home/tester/benchmarks-in-nested-virtualisation-toolchain/local_workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_Open files.csv
03:42:57,683 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/home/tester/benchmarks-in-nested-virtualisation-toolchain/local_workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_CPU usage.csv
03:42:57,705 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/home/tester/benchmarks-in-nested-virtualisation-toolchain/local_workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_GC CPU usage.csv
03:42:57,722 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/home/tester/benchmarks-in-nested-virtualisation-toolchain/local_workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_RSS Memory usage.csv
03:42:57,731 INFO  [org.radargun.utils.Utils] (main) Successfully created report file:/home/tester/benchmarks-in-nested-virtualisation-toolchain/local_workspace/results/results/csv/timeline_Infinispan 9.2 - distributed_default_3_Memory usage.csv
03:42:57,737 INFO  [org.radargun.Master] (main) Running reporter org.radargun.reporting.html.HtmlReporter@1c7696c6
03:43:00,057 INFO  [org.radargun.Master] (main) All reporters have been executed, exiting.
03:43:00,059 INFO  [org.radargun.ShutDownHook] (Thread-0) Master process is being shutdown
