"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",8,30,348.163193,18.041591,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",8,30,648.445875,30.106318,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",8,15,724.705382,4.499799,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",8,15,47.613514,0.204415,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",8,15,2312.666893,19.635925,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",8,15,9458.737472,49.328110,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",8,30,731.629978,9.480858,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",8,15,258.039544,2.030183,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",8,15,63.181699,0.310915,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",8,15,663.633514,24.499468,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,12.704840,0.441477,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",8,15,981.084107,40.689939,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",8,15,4378.472610,216.298219,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",8,15,60.765159,0.125719,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",8,15,433.496023,0.596150,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",8,15,36.671817,6.213339,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",8,15,318.624507,29.094687,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",8,30,10827.614050,139.537051,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",8,15,146.438304,2.179689,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",8,30,561.467035,14.573589,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",8,30,1209.357493,9.494516,"ops/min"
