"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.openjdk.specjvm2008.Compiler.compiler","thrpt",8,30,331.695043,22.259771,"ops/min"
"org.openjdk.specjvm2008.Compiler.sunflow","thrpt",8,30,618.587015,38.936735,"ops/min"
"org.openjdk.specjvm2008.Compress.test","thrpt",8,15,722.733336,4.035505,"ops/min"
"org.openjdk.specjvm2008.CryptoAes.test","thrpt",8,15,48.261254,0.272104,"ops/min"
"org.openjdk.specjvm2008.CryptoRsa.test","thrpt",8,15,2284.131498,16.016040,"ops/min"
"org.openjdk.specjvm2008.CryptoSignVerify.test","thrpt",8,15,9392.017220,55.731897,"ops/min"
"org.openjdk.specjvm2008.Derby.test","thrpt",8,30,716.420769,9.883172,"ops/min"
"org.openjdk.specjvm2008.MpegAudio.test","thrpt",8,15,259.559879,1.890245,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.large","thrpt",8,15,62.779464,0.589169,"ops/min"
"org.openjdk.specjvm2008.ScimarkFFT.small","thrpt",8,15,665.787413,38.043453,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.large","thrpt",1,15,12.999329,0.082645,"ops/min"
"org.openjdk.specjvm2008.ScimarkLU.small","thrpt",8,15,950.791013,61.784105,"ops/min"
"org.openjdk.specjvm2008.ScimarkMonteCarlo.test","thrpt",8,15,4579.487619,86.849219,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.large","thrpt",8,15,58.845032,0.279421,"ops/min"
"org.openjdk.specjvm2008.ScimarkSOR.small","thrpt",8,15,433.335191,0.574867,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.large","thrpt",8,15,34.735707,7.236601,"ops/min"
"org.openjdk.specjvm2008.ScimarkSparse.small","thrpt",8,15,325.946485,11.020932,"ops/min"
"org.openjdk.specjvm2008.Serial.test","thrpt",8,30,10700.850381,132.962487,"ops/s"
"org.openjdk.specjvm2008.Sunflow.test","thrpt",8,15,138.410787,4.079045,"ops/min"
"org.openjdk.specjvm2008.XmlTransform.test","thrpt",8,30,544.519334,21.563047,"ops/min"
"org.openjdk.specjvm2008.XmlValidation.test","thrpt",8,30,1176.201417,29.929090,"ops/min"
