Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;1279077.0
Domain Marker;max-jOPS;7524019.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group1.TxInjector.CompositeTxInjector;Group1.Backend.CompositeBackend
3749.0;1003.4352859999999;
3750.0;;1003.5301460000001
88853.0;6482.294156000004;6486.064818999992
383530.0;10517.398429000052;10520.936877999979
590858.0;5025.334830000065;5086.548949999968
753201.0;11311.942327999976;11313.668122999952
1000653.0;5012.569324999931;5037.5961739999475
1083114.0;;5039.262237000046
1090276.0;5156.860849000048;5158.9543949998915
7919426.0;5140.92494900059;5210.860905999318
8100417.0;11311.72522399947;11314.694393000565
8107662.0;5239.741421000101;5241.462713999674
8146751.0;;1002.5786359999329
8146754.0;2.4495859993621707;
