Request Mix Accuracy
===================================
Domain Marker;max-jOPS;10047.0
Domain Marker;critical-jOPS;3990.0
Domain Marker;Validation Start jOPS;1154.8
Range Marker;Main Tx Limit;-5.0
Range Marker;Main Tx Limit;5.0
Range Marker;Minor Tx Limit;-1.0
Range Marker;Minor Tx Limit;1.0
jOPS;In-store Purchase [50%];Online Purchase [35%];Installment Purchase [10%];Associativity of Category [0.1%];Associativity of Product [1%];Business Report [0.25%];Customer Buying Behavior [1%];Product Return [2.65%]
115.0;-0.043315044758877264;-0.015882183078254286;0.0346520358071043;0.015506786023678887;-0.003753970545769536;0.02432861680623738;-0.003753970545769536;-0.007782269708345169
231.0;0.021592054124084825;-0.06405642723478167;0.04030516769828729;0.007960270620411686;-0.013962861666906523;0.009104649488988037;-0.0067655102922125065;0.005822657262127606
346.0;-0.05047348940056651;0.06705763591789804;-0.020670095659280463;0.010560976782194878;-0.014565206941306474;-0.00965005047348938;0.004662789020814184;0.013077440753737513
462.0;0.007198905766323094;-0.02411633431718485;0.02807573248866113;7.846807285292606E-4;0.004247354402130865;-0.0016377510618386104;-0.006551004247354442;-0.008001583759268627
577.0;-0.0028805161885046004;-0.004608825901598834;0.009793755040902852;-0.0020624495909667;-4.608825901601943E-4;6.049083995852134E-4;-0.006221914967162068;0.005835925797903041
693.0;0.06724626543061873;-7.204957010387147E-4;-0.03314280224794608;8.69398145924391E-4;-0.00331428022479463;-0.002629809308804465;-0.00811758489841008;-0.02019069119554251
808.0;-0.03904644471845131;0.028771064529387047;0.004110152075625706;0.0027538018906699407;0.0028771064529387047;-0.007501027538018901;-0.005343197698314817;0.013378545006165421
924.0;-0.015304009650527917;0.02817738247420465;-1.800471723587549E-4;8.264165211285396E-4;-0.007940080301038877;2.655695792297408E-4;-0.0025386651302640173;-0.0033065663203757367
1039.0;0.02003301440773697;-0.014343638315949647;-0.0011218488068340804;0.0025690337676490815;-0.003157203070660475;-0.0015906213439748906;-0.0015545619180408199;-8.341747199382965E-4
1155.0;0.008618955957139462;1.4364926595078487E-4;-0.009193553020944378;-8.82006492946813E-4;0.0012353836871892288;0.004259200735484248;-0.0016376016318555564;-0.002544028500014228
1270.0;-0.004586614947122314;0.005045276441833835;-0.0011794152721176232;0.0022159902501670686;-1.179415272116735E-4;-0.0023227928553643806;-1.179415272116735E-4;0.0010634394370256928
1386.0;-0.0030036885295103843;-0.009431581982674686;0.00348427869423773;-2.7754082012712566E-4;-3.7245737765978504E-4;0.00230983647919647;0.003231968857757339;0.00405918467878541
1501.0;-5.541946996814318E-4;-0.0014963256891391552;-0.004544396537392359;0.0019718247414681755;-0.0024495405725939445;4.960042562153211E-4;0.003092406424224814;0.003484222076900245
1617.0;-0.010815710592190442;0.0192107621470754;-0.005253345144776489;9.466321937351141E-4;0.0012257805337809735;-0.0027837578928935625;-0.004954625518896583;0.0024242642741629794
1732.0;-0.010561284252162295;0.030819747681320564;-0.009025097451850428;-0.0011079747297271375;-0.0024386965454999965;-0.0013297616990226024;-0.001478579795303192;-0.004878353207749875
1848.0;0.0018028737808108986;0.030738997962750148;-0.021093623235437065;-0.00174337894604;-3.0648854273707116E-4;0.0024023293129248335;-0.006616546775560339;-0.005184163556709365
1963.0;0.0038099753621594346;-0.004106306779213753;-8.466611915913802E-5;0.0015993429909153117;-0.006866422263802741;-0.0010816096722574553;7.535284605160175E-4;0.005976158020844835
2079.0;-0.009617079933960326;0.010979499591272202;-6.411386622637849E-4;0.0017807626344387706;9.77736459952805E-4;8.455016108608882E-4;-0.0014265335235378318;-0.002898748176761945
2194.0;-0.07805750488806495;0.04478833532898108;0.01864286039074159;7.927004865331821E-4;0.0011064461857919206;8.449914364096478E-4;3.48606332509771E-4;0.011533564727101986
2310.0;-0.020176399377412224;0.0161411195019312;0.011817605349628835;8.819968870698025E-4;1.729405660919614E-4;7.638208335735142E-4;-0.007032916354412833;-0.002568167406467925
2425.0;-0.023295968427113678;-5.481404335796469E-4;0.022747827993532255;3.5629128182626535E-5;-3.288842601475439E-4;-5.961027215172499E-4;0.0030969934497218077;-0.0011113547290815262
2541.0;-0.05203730976926835;0.037146129929638505;0.00621829487808867;1.4727540500736325E-4;0.004745540828015038;0.0013500245459008298;8.181966944853514E-4;0.0016118474881361422
2656.0;0.056633646017814954;-0.04671493563789397;-0.018085219557068655;7.515691587556828E-4;6.25786143837459E-6;-0.0015629008942484035;0.004386760868341;0.004584822182867487
2772.0;0.027535347005233746;-0.015743035352990375;-0.014246549102706396;-0.001231907481234057;0.008033138191526401;-0.001583282452800816;-0.0045373463108620005;0.0017736355038371343
2887.0;-0.02620831869315765;0.012585753042756664;0.009273712768347764;8.012257429050179E-4;0.002252187386598603;-1.2960157595498512E-5;0.003980208399334106;-0.0026718084891910188
3002.0;0.0321800306265132;-0.026409818238313676;-0.01087463103930375;-6.85767549213262E-4;0.002019574335870633;7.823076410928276E-4;0.003684058678621316;-6.957544552697037E-4
3118.0;-0.021078695575610595;0.02318656513316597;-0.008164659298905974;-2.0971968003073715E-4;0.00377281968910248;0.001877071181954515;0.0021719061010816443;-0.0015552875507625075
3233.0;-0.006152142483614398;0.008254124498854765;-0.0037938211982311287;-5.403631814779597E-4;-0.0038655961938746097;6.99806207511755E-4;2.358321285387266E-4;0.0051621602222975405
3349.0;0.01367703302879164;-0.013154819040423149;-0.0023375292812843895;-5.306688815171073E-4;-8.305689148392359E-4;0.002154754385354174;-3.332222592468126E-4;0.001355020963161646
3464.0;0.013430416055101091;0.0054201321936631075;-0.009689085868323843;2.484626970193915E-4;-0.007108527354879435;-5.779875480857177E-4;-0.0027916079085964496;0.001068197734097165
3580.0;-0.005105119042092099;0.0011602543277504651;-0.003248712117695618;2.459739174826975E-4;-7.889729428691705E-4;-0.0012414721306910625;0.0010674339815288647;0.007910614006590322
3695.0;-0.0078709346622432;-0.0017765823951947368;0.01182889037812096;2.9819598177541207E-4;-6.161817421301841E-4;0.0014201414969168824;-0.0010659494371157985;-0.002217579620126031
3811.0;-0.0308934740799387;0.03232936794562136;-0.012705485114565818;7.74512448764586E-5;0.003385228568196119;1.9362811219120202E-4;-9.659649641895474E-4;0.008579248287805541
3926.0;-0.024793493509193354;0.020703626631174643;0.0021614840495196574;-4.0220556137131325E-4;-0.002750594408113649;0.0021731391105705433;-6.314923987811305E-4;0.0035395360861882885
4042.0;-0.022467278161393267;0.01185200453468127;0.008863238173761445;-2.3704009069359933E-4;-0.0015459136349582625;0.0010563743172214424;0.0017520354529527715;7.265794084303501E-4
4157.0;-0.003803179458031991;0.012470425275530772;-0.010048400462787654;8.366994807659789E-5;0.0032387075595197157;0.0010098442297761245;0.0012370341605580926;-0.004188101252646792
4273.0;-0.013034664425482845;0.01344321360896572;0.002451295100911466;3.8637079923892204E-4;-0.004696370137778461;1.877380771730386E-4;3.618578482298407E-4;9.005591287398751E-4
4388.0;0.0051227369835089576;-0.01891618063908851;0.0056539837817943805;-2.0149432135119216E-4;0.003297524769382054;4.449191935673724E-4;0.002538600771825772;0.0020599094603670487
4504.0;-0.007013658176447279;-0.001845699520117705;0.009597637504613843;-3.322259136212813E-4;-7.382798080473041E-4;0.0010151347360649599;-3.6913990402365204E-4;-3.1376891841983223E-4
4619.0;0.0028840053065692928;0.003893407163872098;-0.010166118705658533;-1.4131626002190922E-4;-3.3166061025546867E-4;0.0030714656514967964;0.002552344696314268;-0.001762127242314282
