Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;1119683.0
Domain Marker;max-jOPS;6646825.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group1.TxInjector.CompositeTxInjector;Group1.Backend.CompositeBackend
3665.0;1005.6257000000005;1005.3886629999997
88131.0;6001.5743340000045;6004.408727000002
371064.0;11408.92973600002;11409.241349000018
569128.0;;5047.3935409999685
699037.0;10956.950922999997;10959.816561999964
923848.0;5202.103674999904;5274.472295000101
931037.0;5186.195689999964;5187.63425100001
6951864.0;5062.680658000521;5117.931885000318
7129707.0;11274.981114999391;11276.536373999901
7137086.0;5374.968340000138;5376.285449999385
7177150.0;;1001.6760190008208
7177153.0;2.2079839995130897;
